image_path,label,image_name,try_num,valence,arousal,reasoning
../database/final_database/001/001.jpg,1,001.jpg,1,0.23,-0.18,口角がわずかに上がっており、全体として穏やかな表情で軽い快の印象です。一方で目や眉の動きが小さく、興奮や緊張は低めに見えるため覚醒度はやや低いと判断しました。
../database/final_database/001/001.jpg,1,001.jpg,2,0.32,-0.18,口角がわずかに上がっており、全体として穏やかな微笑みに見えるため快寄りです。目元や表情筋の緊張が少なく落ち着いた印象なので覚醒度は低めと判断しました。
../database/final_database/001/001.jpg,1,001.jpg,3,0.15,-0.35,口角がわずかに上がっており全体として中立〜軽い快の表情ですが、目元や眉の動きが少なく覚醒度は低めに見えます。
../database/final_database/001/001.jpg,1,001.jpg,4,0.25,-0.15,口角がわずかに上がっており全体として穏やかな表情で、快寄りのvalenceと判断しました。目や眉の動きが小さく緊張感が低いため、arousalはやや低めです。
../database/final_database/001/001.jpg,1,001.jpg,5,0.32,-0.18,口角がわずかに上がった穏やかな表情で、不快さは見られないためvalenceはやや正寄りです。目の開きや表情筋の緊張が強くなく落ち着いて見えるため、arousalはやや低めにしました。
../database/final_database/001/001.jpg,1,001.jpg,6,0.32,-0.18,口角がわずかに上がっており全体として穏やかな表情のため、快寄りのvalenceと判断しました。目や眉の動きが小さく緊張感が低いので、arousalはやや低めです。
../database/final_database/001/001.jpg,1,001.jpg,7,0.42,-0.18,口角がわずかに上がり、全体として穏やかな微笑に見えるため快（正のvalence）寄りです。一方で目の見開きや表情筋の緊張が強くなく落ち着いた印象なので、覚醒度はやや低めと判断しました。
../database/final_database/001/001.jpg,1,001.jpg,8,0.25,-0.15,口角がわずかに上がった穏やかな表情で、全体として軽い快の印象です。目や眉の動きが小さく緊張感も低いため、覚醒度はやや低めと判断しました。
../database/final_database/001/001.jpg,1,001.jpg,9,0.15,-0.25,口角がわずかに上がっており不快ではないためvalenceは弱い快寄りです。一方で目元や表情筋の緊張が少なく、全体に落ち着いた印象なのでarousalはやや低めです。
../database/final_database/001/001.jpg,1,001.jpg,10,0.22,-0.18,口角がわずかに上がり、全体として穏やかでやや快の表情に見えます。一方で目の開きや表情筋の緊張が弱く、覚醒度は低めに感じられます。
../database/final_database/001/002.jpg,1,002.jpg,1,0.35,-0.15,口角がわずかに上がっており穏やかな微笑に見えるため、快方向のvalenceです。一方で目元の緊張や大きな表情変化が少なく、全体として落ち着いた覚醒度なのでarousalはやや低めです。
../database/final_database/001/002.jpg,1,002.jpg,2,0.25,-0.15,口元がわずかに上がっており、全体として穏やかで軽い好意・満足が感じられます。一方で目元や表情の動きは強くなく、覚醒度は低めです。
../database/final_database/001/002.jpg,1,002.jpg,3,0.35,-0.15,口角がわずかに上がり、全体として穏やかな微笑みに見えるため快寄りです。一方で目元の動きが小さく表情の強度は弱いので覚醒度はやや低めと判断しました。
../database/final_database/001/002.jpg,1,002.jpg,4,0.32,-0.18,口角がわずかに上がっており、全体として穏やかな微笑に見えるため快寄りです。一方で目元や表情筋の動きが強くなく、落ち着いた状態なので覚醒度は低めです。
../database/final_database/001/002.jpg,1,002.jpg,5,0.18,-0.22,口角がわずかに上がっており軽い肯定的感情が見られる一方、目元や眉の動きが少なく全体として落ち着いた表情です。強い興奮や緊張は感じられないためarousalは低めにしました。
../database/final_database/001/002.jpg,1,002.jpg,6,0.32,-0.18,口角がわずかに上がっており、穏やかな微笑みに見えるため快寄りのvalenceです。一方で目の開きや表情筋の緊張が強くなく、落ち着いた状態に見えるためarousalはやや低めです。
../database/final_database/001/002.jpg,1,002.jpg,7,0.32,-0.18,口角がわずかに上がっており全体として穏やかな微笑みで、軽い快の感情が見られます。一方で目の開きや表情筋の緊張は強くなく、落ち着いた低覚醒と判断しました。
../database/final_database/001/002.jpg,1,002.jpg,8,0.35,-0.25,口角がわずかに上がり、眉や目元の緊張が少ないため軽い快の表情に見えます。一方で表情の動きは控えめで、興奮や緊張は低めに感じられます。
../database/final_database/001/002.jpg,1,002.jpg,9,0.32,-0.08,口角がわずかに上がり、全体として穏やかな表情のためやや快寄りです。一方で目元や表情筋の緊張が強くなく、興奮度は低めと判断しました。
../database/final_database/001/002.jpg,1,002.jpg,10,0.35,-0.15,口角がわずかに上がっており全体として穏やかな微笑みに見えるため快寄りです。一方で目元の緊張や表情の強さは低く、落ち着いた状態に見えるため覚醒度はやや低めです。
../database/final_database/001/003.jpg,1,003.jpg,1,0.18,-0.12,口元がわずかに上がっており軽い肯定的感情が見られますが、表情全体は落ち着いていて強い興奮や緊張は感じられません。
../database/final_database/001/003.jpg,1,003.jpg,2,0.18,-0.12,口角がわずかに上がっており不快感は低いものの、強い笑顔ではなく中立寄りです。目元や表情筋の緊張が少なく、落ち着いた低覚醒に見えます。
../database/final_database/001/003.jpg,1,003.jpg,3,0.12,-0.18,口元がわずかに上がっており軽い好意・落ち着きが感じられます。一方で目元や眉の動きが小さく、全体として覚醒度は低めに見えます。
../database/final_database/001/003.jpg,1,003.jpg,4,0.18,-0.12,口角がわずかに上がっており軽い好意・安心感が見られる一方、目元や表情筋の緊張が少なく落ち着いた状態に見えるためです。
../database/final_database/001/003.jpg,1,003.jpg,5,0.12,-0.18,口元がわずかに上がっており穏やかな印象で、強い不快感は見られません。目元や表情の動きが小さく落ち着いているため、覚醒度はやや低めと判断しました。
../database/final_database/001/003.jpg,1,003.jpg,6,0.2,-0.1,口元がわずかに上がっており軽い肯定的感情（小さな笑み）が見られます。一方で目元や表情筋の緊張は強くなく、全体として落ち着いた低覚醒の状態に見えます。
../database/final_database/001/003.jpg,1,003.jpg,7,0.12,-0.18,口角がわずかに上がり穏やかな表情で、強い不快感は見られません。一方で目や眉の動きが少なく興奮度は低めに見えます。
../database/final_database/001/003.jpg,1,003.jpg,8,0.18,-0.12,口元がわずかに上がり、全体として穏やかで軽い好意（微笑）を示しています。一方で目や眉の緊張が少なく、興奮度は低めに見えます。
../database/final_database/001/003.jpg,1,003.jpg,9,0.15,-0.2,口角がわずかに上がり表情は穏やかで、軽い快の方向に見えます。一方で目元や全体の緊張が少なく、覚醒度は低めに感じられます。
